id,text_snippet,labels
78,Our AI engine outperforms CompetitorY and offers better pricing model options.,"Objection, Security, Pricing Discussion"
79,Our data pipeline outperforms CompetitorX and offers better renewal cost options.,"Pricing Discussion, Security, Objection"
80,Our analytics outperforms CompetitorX and offers better renewal cost options.,Security
81,Our data pipeline outperforms CompetitorX and offers better budget options.,"Security, Pricing Discussion, Competition"
82,Our data pipeline outperforms CompetitorZ and offers better budget options.,"Competition, Objection, Security"
83,Our analytics outperforms CompetitorY and offers better discount options.,Competition
84,Our AI engine outperforms CompetitorY and offers better pricing model options.,"Objection, Pricing Discussion, Security"
85,Our AI engine outperforms CompetitorX and offers better renewal cost options.,Pricing Discussion
86,Our data pipeline outperforms CompetitorY and offers better discount options.,Competition
87,Our analytics outperforms CompetitorY and offers better discount options.,"Pricing Discussion, Competition"
88,Our analytics outperforms CompetitorX and offers better discount options.,"Pricing Discussion, Security, Objection"
89,Our data pipeline outperforms CompetitorZ and offers better discount options.,Competition
90,Our analytics outperforms CompetitorY and offers better renewal cost options.,"Competition, Security, Pricing Discussion"
91,Our AI engine outperforms CompetitorZ and offers better budget options.,"Pricing Discussion, Competition, Objection"
92,Our data pipeline outperforms CompetitorY and offers better budget options.,"Objection, Competition"
93,Our analytics outperforms CompetitorX and offers better discount options.,Objection
94,Our analytics outperforms CompetitorY and offers better renewal cost options.,Pricing Discussion
95,Our analytics outperforms CompetitorY and offers better discount options.,"Objection, Security, Pricing Discussion"
96,Our data pipeline outperforms CompetitorZ and offers better renewal cost options.,"Security, Pricing Discussion, Objection"
97,Our data pipeline outperforms CompetitorX and offers better renewal cost options.,Security
98,Our analytics outperforms CompetitorZ and offers better budget options.,"Competition, Pricing Discussion"
99,Our analytics outperforms CompetitorX and offers better renewal cost options.,"Competition, Pricing Discussion, Security"
100,Our AI engine outperforms CompetitorY and offers better pricing model options.,Security
